Price,Location,Property Ref,Date Added,Last Updated,market Status,Type,Price_cat,Bedroom,Bathroom,Toilets,Town
65000000,"By American International School, Durumi, Abuja",2260848,2024-05-17,2024-05-17, Available,Block of Flats,Millions,2.0,2.0,3.0,Durumi
140000000,"Karsana Gwarimpa Extension In An Estate, Gwarinpa, Abuja",2260786,2024-05-17,2024-05-17, Available,Detached Duplex,Millions,4.0,4.0,5.0,Gwarimpa
63500000,"Lugbe District, Abuja",2260743,2024-05-17,2024-05-17, Available,House,Millions,5.0,6.0,6.0,Lugbe District
220000000,"Behind Suncourt Hotel, Kado, Abuja",2161046,2024-03-14,2024-05-02, Available,Detached Duplex,Millions,5.0,5.0,6.0,Kado
77500000,"Opposite Nicon Junction, Katampe, Abuja",2162917,2024-03-15,2024-05-12, Available,Terraced Duplex,Millions,5.0,5.0,6.0,Katampe
145000000,"Queens Estate, Karsana, Abuja",2256950,2024-05-15,2024-05-15, Available,Detached Bungalow,Millions,3.0,4.0,4.0,Karsana
180000000,"Opposite Bangladesh Embassy, Asokoro District, Abuja",2258723,2024-05-16,2024-05-17, Available,Terraced Duplex,Millions,4.0,5.0,5.0,Asokoro District
220000000,"Prince And Princess Estate, Games Village, Kaura, Abuja",1722207,2023-05-05,2024-05-17, Available,Detached Duplex,Millions,6.0,8.0,8.0,Kaura
76000000,"Directly Opposite Maitama, By Nicon Junction, Katampe, Abuja",1533966,2022-11-17,2024-05-10, Available,Terraced Duplex,Millions,5.0,6.0,6.0,Katampe
800000000,"Guzape District, Abuja",2135268,2024-02-25,2024-05-17, Available,Detached Duplex,Millions,6.0,6.0,7.0,Guzape District
63246500,"Flexible Payment Plan And Just After Mountain Of Fire Estate E T C, Sabon Lugbe, Lugbe District, Abuja",2260481,2024-05-17,2024-05-17, Available,Detached Duplex,Millions,5.0,5.0,6.0,Lugbe District
150000000,"Wuye Main, Wuye, Abuja",2260380,2024-05-17,2024-05-17, Available,Semi-detached Duplex,Millions,4.0,4.0,5.0,Wuye
130000000,"Games Village Kaura Abuja, Games Village, Kaura, Abuja",2260348,2024-05-17,2024-05-17, Available,House,Millions,4.0,4.0,5.0,Kaura
